Test Set,Setting,Service,Slot,Mapping,Categorical,Accuracy,F1,Recall,Precision
v2.1,original,train,train-departure,Mapping,Categorical,0.8415626695604992,0.7432967032967033,0.7832329782306623,0.7072354663320787
v2.1,original,train,train-day,Non-mapping,Categorical,0.8958220293000543,0.8415841584158416,0.8789314950452392,0.8072813612979818
v2.1,original,train,train-bookpeople,Mapping,Categorical,0.8632664134563213,0.2112676056338027,0.9854014598540146,0.1183172655565293
v2.1,original,train,train-leaveat,Non-mapping,Non-categorical,0.763293543136191,0.4332575511529717,0.291520979020979,0.843236409608091
v2.1,original,attraction,attraction-area,Non-mapping,Categorical,0.3944655453065653,0.2739102147039687,0.167329093799682,0.7544802867383512
v2.1,original,attraction,attraction-name,Mapping,Non-categorical,0.7981551817688551,0.0937880633373934,0.127062706270627,0.0743243243243243
v2.1,original,attraction,attraction-type,Mapping,Categorical,0.8293543136190993,0.4882017900732303,0.56657223796034,0.4288777698355968
v2.1,original,restaurant,restaurant-pricerange,Mapping,Categorical,0.8794085729788389,0.739982451009067,0.7059151785714286,0.7775046097111248
v2.1,original,restaurant,restaurant-area,Non-mapping,Categorical,0.7885241454150841,0.6081930133199297,0.469356089992242,0.8636688079942898
v2.1,original,restaurant,restaurant-food,Mapping,Non-categorical,0.7703472599023331,0.4880556395524644,0.3291190864600326,0.9438596491228072
v2.1,original,restaurant,restaurant-name,Mapping,Non-categorical,0.7144601193705914,0.228089475614228,0.1342832469775474,0.7566909975669099
v2.1,original,restaurant,restaurant-bookday,Non-mapping,Categorical,0.9525230602278894,0.8700816629547142,0.7897574123989218,0.968595041322314
v2.1,original,restaurant,restaurant-bookpeople,Mapping,Categorical,0.918068366793272,0.7518488085456039,0.8250676284941388,0.690566037735849
v2.1,original,restaurant,restaurant-booktime,Mapping,Non-categorical,0.9507596310363536,0.8648044692737431,0.7755511022044088,0.9772727272727272
v2.1,original,taxi,taxi-leaveat,Non-mapping,Non-categorical,0.6346988605534455,0.1121002307945928,0.0619533527696793,0.5882352941176471
v2.1,original,taxi,taxi-destination,Mapping,Non-categorical,0.3883613673358654,0.0309477756286266,0.0169133192389006,0.1818181818181818
v2.1,original,taxi,taxi-departure,Non-mapping,Non-categorical,0.9160336408030384,0.0606980273141122,0.0505050505050505,0.0760456273764258
v2.1,original,taxi,taxi-arriveby,Non-mapping,Non-categorical,0.967444384156267,0.0,0.0,0.0
v2.2,desc,hotel,hotel-pricerange,Non-mapping,Categorical,0.842919153553988,0.3840425531914893,0.4871794871794871,0.3169446883230904
v2.2,desc,hotel,hotel-type,Non-mapping,Categorical,0.8102278893109062,0.2249307479224376,0.2942028985507246,0.1820627802690582
v2.2,desc,hotel,hotel-parking,Non-mapping,Categorical,0.8510580575149214,0.0334507042253521,0.0473815461346633,0.0258503401360544
v2.2,desc,hotel,hotel-bookday,Non-mapping,Categorical,0.9267498643516008,0.7213622291021672,0.6760154738878144,0.7732300884955752
v2.2,desc,hotel,hotel-bookpeople,Mapping,Categorical,0.7440314704286489,0.286578449905482,0.2320881812614819,0.3745059288537549
v2.2,desc,hotel,hotel-bookstay,Mapping,Categorical,0.9301410743353228,0.776959722823733,0.6379800853485064,0.9933554817275748
v2.2,desc,hotel,hotel-stars,Mapping,Categorical,0.939636462289745,0.81419624217119,0.7689274447949527,0.865128660159716
v2.2,desc,hotel,hotel-internet,Non-mapping,Categorical,0.847802495930548,0.0070796460176991,0.0303030303030303,0.0040080160320641
v2.2,desc,hotel,hotel-name,Mapping,Non-categorical,0.765735214324471,0.2355024347056219,0.1487695749440716,0.564755838641189
